time,SVEL,PSAL,CNDC,PRES,TEMP
2017-12-12T12:30:00Z,1508.2,38.2632,4.56046,19.789,14.1754
2017-12-12T13:00:00Z,1508.35,38.2558,4.56492,19.769,14.225
2017-12-12T13:30:00Z,1508.54,38.2447,4.57028,19.778,14.287
2017-12-12T14:00:00Z,1508.63,38.2394,4.57297,19.791,14.3177
2017-12-12T14:30:00Z,1508.74,38.2342,4.57632,19.803,14.3548
2017-12-12T15:00:00Z,1508.84,38.2268,4.57917,19.782,14.3892
2017-12-12T15:30:00Z,1508.95,38.2208,4.58234,19.786,14.4252
2017-12-12T16:00:00Z,1509.02,38.2159,4.58438,19.791,14.4495
2017-12-12T16:30:00Z,1509.07,38.213,4.58593,19.799,14.467
2017-12-12T17:00:00Z,1509.11,38.2095,4.58695,19.798,14.4802
2017-12-12T17:30:00Z,1509.15,38.2065,4.58798,19.772,14.4929
2017-12-12T18:00:00Z,1509.18,38.204,4.58889,19.76,14.5041
2017-12-12T18:30:00Z,1509.2,38.2035,4.58959,19.755,14.5113
2017-12-12T19:00:00Z,1509.22,38.2031,4.59015,19.729,14.517
2017-12-12T19:30:00Z,1509.24,38.2014,4.59067,19.74,14.5236
2017-12-12T20:00:00Z,1509.26,38.1996,4.59118,19.721,14.5302
2017-12-12T20:30:00Z,1509.27,38.1976,4.59161,19.706,14.5363
2017-12-12T21:00:00Z,1509.29,38.1963,4.59193,19.71,14.5407
2017-12-12T21:30:00Z,1509.29,38.1955,4.59217,19.706,14.5437
2017-12-12T22:00:00Z,1509.29,38.1943,4.59207,19.702,14.544
2017-12-12T22:30:00Z,1509.3,38.1949,4.59217,19.704,14.5444
2017-12-12T23:00:00Z,1509.3,38.1954,4.5922,19.703,14.5442
2017-12-12T23:30:00Z,1509.3,38.1959,4.59237,19.717,14.5453
2017-12-13T00:00:00Z,1509.18,38.1703,4.58663,19.715,14.5169
2017-12-13T00:00:00Z,1509.18,38.1703,4.58663,19.715,14.5169
2017-12-13T00:30:00Z,1509.16,38.1528,4.58478,19.729,14.5171
2017-12-13T01:00:00Z,1509.18,38.1655,4.58633,19.749,14.5189
2017-12-13T01:30:00Z,1509.18,38.151,4.58518,19.764,14.5227
2017-12-13T02:00:00Z,1509.25,38.1911,4.59036,19.764,14.531
2017-12-13T02:30:00Z,1509.22,38.2015,4.59004,19.76,14.5175
2017-12-13T03:00:00Z,1509.19,38.2039,4.58925,19.779,14.5076
