id,uri,prefLabel,definition
SDN:P02::INAP,http://vocab.nerc.ac.uk/collection/P02/current/INAP/,inapplicable,There is no appropriate value.
SDN:P02::ARAD,http://vocab.nerc.ac.uk/collection/P02/current/ARAD/,Radioactivity in the atmosphere,"All parameters associated with radioactivity in the atmosphere, including radiation counts, isotope activities and activity ratios."
SDN:P02::FADS,http://vocab.nerc.ac.uk/collection/P02/current/FADS/,Fish aggregating device usage statistics,Parameters describing usage of Fish Aggregating Devices (FAD) in fisheries (particularly purse seine tuna fisheries).
SDN:P02::LRWL,http://vocab.nerc.ac.uk/collection/P02/current/LRWL/,Lake and river water level parameters,Parameters describing the vertical distance (height or elevation) of river or lake water from a specified point of reference to the water's surface. Rivers are defined as being upstream from the tidal limit.
SDN:P02::PHLT,http://vocab.nerc.ac.uk/collection/P02/current/PHLT/,Raw pH sensor output,Raw pH parameter output from any type of pH sensor.
SDN:P02::EPSV,http://vocab.nerc.ac.uk/collection/P02/current/EPSV/,Raw turbulence sensor output,"Raw direct output parameters from microstructure sensors, probes or profilers that are used to determine the distribution of water body properties on a millimetric scale."
SDN:P02::SPCN,http://vocab.nerc.ac.uk/collection/P02/current/SPCN/,Single particle characterisation,"Physical, chemical or optical properties of individual solid particles."
SDN:P02::SBGE,http://vocab.nerc.ac.uk/collection/P02/current/SBGE/,Seabed geomorphology,"Parameters associated with seafloor landforms and features such as bedforms, seamounts and ridges, including morphology, evolution and associated transport phenomena."
SDN:P02::SAMP,http://vocab.nerc.ac.uk/collection/P02/current/SAMP/,Sampling parameters,"Qualitative and quantitative parameters related to the sampling activity; includes terms related to sampling effort, sampling gears, sample processing."
SDN:P02::FCMW,http://vocab.nerc.ac.uk/collection/P02/current/FCMW/,Flow cytometry parameters in water bodies,Parameters derived from flow cytometry data analysis of water samples using in situ or bench-top flow cytometers.
SDN:P02::PESP,http://vocab.nerc.ac.uk/collection/P02/current/PESP/,Pesticide concentrations in suspended particulate material,"Concentration parameters for substances synthesised by man to kill other life forms in suspended particulate material (SPM) collected by water column filtration, centrifugation or sediment trapping. Only includes parameters expressed per unit mass of SPM and not per unit volume of the water column."
SDN:P02::EXSV,http://vocab.nerc.ac.uk/collection/P02/current/EXSV/,Experiment state variables,"Measurements made at a given time of any state variable in a sample that is the subject of an experiment that will change the composition over time, such as the water sample in an incubation experiment."
SDN:P02::FEFF,http://vocab.nerc.ac.uk/collection/P02/current/FEFF/,Fishing effort,Parameters that quantify or classify the physical or financial resources used in fishing activities
SDN:P02::GP013,http://vocab.nerc.ac.uk/collection/P02/current/GP013/,Coral infection and damage,Parameters related to the health and conservation status of coral species and coralligenous habitats.
SDN:P02::INVD,http://vocab.nerc.ac.uk/collection/P02/current/INVD/,Invasive species monitoring parameters,Parameters used to characterize and monitor biological invasion by non-native organisms.
